epoch,train_loss,val_loss,learning_rate,toured_auc,applied_auc,rented_auc,toured_apr,applied_apr,rented_apr,toured_p50,applied_p50,rented_p50
1,4.184586902162922,6.226492152494543,1e-05,0.5383600474901171,0.5363673118177309,0.5336260861758546,0.4052958024769094,0.17836593093132205,0.12345634460198791,0.48,0.3,0.16
2,4.168327224788381,6.170789325938506,1e-05,0.5481518667649541,0.5441657412620665,0.5395384758736058,0.41508718999298433,0.18448705142627553,0.1269229572244758,0.64,0.34,0.16
3,3.8895503691772917,6.095182026133818,2e-05,0.5572585970557054,0.5499054231433985,0.5452891036986568,0.4235416804533694,0.19056263105396387,0.13210545626951067,0.58,0.26,0.22
4,3.8416768045567755,6.170076875125661,5e-05,0.5798023395798368,0.5438703517158506,0.5216704978957548,0.44258419862148035,0.17364761813305807,0.11826502364958348,0.66,0.16,0.08
5,3.788551604569848,6.071902387282428,0.0001,0.6135741992514087,0.5565492802018303,0.526711011348007,0.47271750933061285,0.1796605738275803,0.12814373997223993,0.72,0.24,0.22
6,3.7070665822100284,5.821675665238324,0.0001,0.6660504174895918,0.5848261479687881,0.5465774931432763,0.5195213741865541,0.19655083017541866,0.13894105939704166,0.78,0.16,0.24
7,3.6250941539878276,5.581384855158189,0.0001,0.6958350970201613,0.614548594361934,0.5629298456171684,0.5501854267687016,0.22200309746039834,0.1558738059196055,0.82,0.46,0.48
8,3.558782638008915,5.448012576383703,0.0001,0.7010816635295063,0.6241085297219594,0.576320209962321,0.5586961661554259,0.23687380520864845,0.17588815484013706,0.78,0.52,0.72
9,3.499363870763067,5.253836154937744,0.0001,0.7415744797413619,0.6493652894125073,0.5849644224671882,0.5978948866679294,0.2573033238690346,0.18014602118115317,0.76,0.6,0.56
10,3.4436587148637914,5.247313667746151,0.0001,0.7416749442110891,0.6473539762165114,0.585056970956693,0.6010418714836672,0.2602732728499751,0.18132002863757832,0.76,0.64,0.52
11,3.38759979205345,5.1085447143105895,0.0001,0.7481578455280784,0.6600513674065835,0.5939381432318006,0.6054753215215851,0.2748002639890382,0.19369265085559206,0.78,0.76,0.5
12,3.3445671067309024,4.862214677474078,0.0001,0.7962755763566287,0.6895254916301186,0.6071194050460419,0.6579509207261705,0.30303633738872615,0.20356529961597042,0.8,0.76,0.58
13,3.2738117104146016,4.766573569353889,0.0001,0.8068343482742528,0.7014920059989692,0.6124034387361399,0.6699784452679307,0.3145437348097755,0.21124787633074876,0.84,0.74,0.62
14,3.2320784917518273,4.5818396456101365,0.0001,0.825769494824458,0.7212534171008019,0.6195624072715252,0.6885197187531636,0.3338102385964537,0.22811556055696544,0.76,0.76,0.68
15,3.1730091358298687,4.544450675739961,0.0001,0.8304919082898304,0.7209481222435289,0.6227323055279418,0.6955138803095215,0.33948943686946365,0.232835689176826,0.82,0.84,0.7
16,3.167036476419933,4.602042534772088,0.0001,0.8153507244831412,0.7120868234263542,0.6222109148398388,0.687402780610159,0.33894531774055814,0.23255713145425772,0.9,0.9,0.76
17,3.1486613892797215,4.459666953367345,0.0001,0.8395805245703017,0.7348663155828399,0.6287972868425781,0.7047495565806075,0.35396481052957474,0.24140669340960572,0.9,0.88,0.74
18,3.072134548158788,4.246647442088408,0.0001,0.8666658804448276,0.7552731084613247,0.6356305268114882,0.7348550931840283,0.3742914109255099,0.25372681486673315,0.88,0.84,0.82
19,3.0360179267712493,4.288231527104097,0.0001,0.856897591804439,0.7484993779581268,0.6354855395774923,0.7253944758894821,0.37517616427729716,0.2604488753657913,0.86,0.9,0.8
20,3.0056110033348427,4.0915509532479675,0.0001,0.8865368492710353,0.7729388740305031,0.640405278330853,0.7590304726641021,0.39262028969863105,0.2615953251216192,0.9,0.92,0.82
21,2.9775925358729576,4.11822125490974,0.0001,0.8732421354635117,0.767056076181555,0.6455059519009914,0.7447255368333123,0.3960399866845904,0.27463071373704406,0.88,0.88,0.8
22,2.9427424224454963,3.9512946745928597,0.0001,0.8947297328622956,0.7838771567468624,0.6480558409723934,0.7680447549698923,0.408823289975878,0.27689459049724063,0.9,0.88,0.8
23,2.9228895849256373,3.9386011993183807,0.0001,0.8905519315944501,0.7850710416934777,0.6517983852574396,0.7614932567621963,0.4132129669809156,0.2850946099121404,0.88,0.88,0.8
24,2.8995481818469604,3.99051430646111,0.0001,0.8864875742177962,0.7785933832700491,0.6509574080044255,0.761494999340967,0.41061793745997804,0.28602847745223475,0.92,0.88,0.8
25,2.87488646293754,3.8852622789495133,0.0001,0.8981827921345364,0.7913396630694723,0.6498417325437207,0.7727012933249255,0.41831804372155107,0.2826967663841934,0.88,0.92,0.8
26,2.854458951238376,3.870613869498758,0.0001,0.901732630099431,0.7871553516814496,0.6500234098002479,0.7790899699838825,0.4163037258878678,0.28449896579728196,0.92,0.92,0.82
27,2.8356291607244692,3.8382365843828987,0.0001,0.8986968942885136,0.792307536805073,0.6510237011246062,0.7748467102511498,0.4227443780290209,0.28834198206445416,0.92,0.9,0.84
28,2.81793821035926,3.8362555503845215,0.0001,0.9002565845596074,0.7917547909516686,0.6516354984760276,0.7779721192669483,0.4230773289617993,0.28762645701048467,0.94,0.9,0.84
29,2.803262447243306,3.7887255163753735,0.0001,0.9018032799552452,0.7949088402356259,0.6526591564041394,0.7789942407805655,0.4269179641927212,0.29278953172441136,0.92,0.88,0.82
30,2.7863856180390316,3.794101027881398,0.0001,0.9037487211821684,0.7945258943249143,0.6525138676946088,0.7839758087917832,0.42770641954690597,0.29030412115287096,0.92,0.94,0.86
