Stage,Metric,Value
toured,ROC-AUC,0.9018032799552452
toured,APR,0.7789942407805655
toured,Precision@10,0.8
toured,Precision@20,0.9
toured,Precision@50,0.92
toured,Precision@100,0.89
applied,ROC-AUC,0.5002220017551195
applied,APR,0.21979707042781851
applied,Precision@10,0.5
applied,Precision@20,0.6
applied,Precision@50,0.62
applied,Precision@100,0.68
rented,ROC-AUC,0.6335420707938709
rented,APR,0.266730136212748
rented,Precision@10,0.8
rented,Precision@20,0.9
rented,Precision@50,0.74
rented,Precision@100,0.73
